 INFO 2022-10-13 18:45:23,749   root oops
 INFO 2022-10-13 18:45:50,751   root #____________oops concept_________________

 INFO 2022-10-13 20:00:59,903   root #____________oops concept_________________
 INFO 2022-10-13 20:13:19,624   root #____________oops concept_________________
 INFO 2022-10-13 20:14:39,167   root #____________oops concept_________________
 INFO 2022-10-13 20:14:39,168   root anuj
 INFO 2022-10-13 20:14:39,168   root bandari
 INFO 2022-10-13 20:14:39,168   root anuj@gmail.com
 INFO 2022-10-13 20:14:39,168   root 1996
 INFO 2022-10-13 20:15:22,052   root #____________oops concept_________________
 INFO 2022-10-13 20:15:22,053   root init is the  initialization of a particular variable to a classes , is known as constructor
 INFO 2022-10-13 20:15:22,054   root anuj
 INFO 2022-10-13 20:15:22,054   root bandari
 INFO 2022-10-13 20:15:22,054   root anuj@gmail.com
 INFO 2022-10-13 20:15:22,054   root 1996
 INFO 2022-10-14 11:41:17,425   root #____________oops concept_________________
 INFO 2022-10-14 11:41:17,490   root init is the  initialization of a particular variable to a classes , is known as constructor
 INFO 2022-10-14 11:41:17,491   root anuj
 INFO 2022-10-14 11:41:17,491   root bandari
 INFO 2022-10-14 11:41:17,491   root anuj@gmail.com
 INFO 2022-10-14 11:41:17,491   root 1996
 INFO 2022-10-14 11:41:59,211   root #____________oops concept_________________
 INFO 2022-10-14 11:41:59,212   root init is the  initialization of a particular variable to a classes , is known as constructor
 INFO 2022-10-14 11:41:59,212   root anuj
 INFO 2022-10-14 11:41:59,213   root bandari
 INFO 2022-10-14 11:41:59,213   root anuj@gmail.com
 INFO 2022-10-14 11:41:59,213   root 1996
 INFO 2022-10-14 11:41:59,213   root Force
 INFO 2022-10-14 11:41:59,213   root Gurkha
 INFO 2022-10-14 11:41:59,213   root 4WheelDrive
 INFO 2022-10-14 11:41:59,213   root 140000/-
 INFO 2022-10-14 11:41:59,213   root TopEnd
 INFO 2022-10-14 11:42:39,844   root #____________oops concept_________________
 INFO 2022-10-14 11:42:39,844   root init is the  initialization of a particular variable to a classes , is known as constructor
 INFO 2022-10-14 11:42:39,844   root anuj
 INFO 2022-10-14 11:42:39,844   root bandari
 INFO 2022-10-14 11:42:39,844   root anuj@gmail.com
 INFO 2022-10-14 11:42:39,844   root 1996
 INFO 2022-10-14 11:42:39,844   root details of the car
 INFO 2022-10-14 11:42:39,844   root Force
 INFO 2022-10-14 11:42:39,844   root Gurkha
 INFO 2022-10-14 11:42:39,844   root 4WheelDrive
 INFO 2022-10-14 11:42:39,844   root 140000/-
 INFO 2022-10-14 11:42:39,844   root TopEnd
 INFO 2022-10-14 11:42:59,305   root #____________oops concept_________________
 INFO 2022-10-14 11:42:59,305   root init is the  initialization of a particular variable to a classes , is known as constructor
 INFO 2022-10-14 11:42:59,305   root anuj
 INFO 2022-10-14 11:42:59,305   root bandari
 INFO 2022-10-14 11:42:59,305   root anuj@gmail.com
 INFO 2022-10-14 11:42:59,305   root 1996
 INFO 2022-10-14 11:42:59,305   root ______details of the car_____________________________
 INFO 2022-10-14 11:42:59,305   root Force
 INFO 2022-10-14 11:42:59,305   root Gurkha
 INFO 2022-10-14 11:42:59,305   root 4WheelDrive
 INFO 2022-10-14 11:42:59,305   root 140000/-
 INFO 2022-10-14 11:42:59,305   root TopEnd
 INFO 2022-10-14 11:45:00,324   root #____________oops concept_________________
 INFO 2022-10-14 11:45:00,324   root init is the  initialization of a particular variable to a classes , is known as constructor
